route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1Q,SH,1Q-R02,Blok M - Rempoa,1,,1Q-R02_shp
1R,HK,1R-R03,Senen - Tanah Abang,0,,1R-R03_shp
1R,HK,1R-R04,Tanah Abang - Senen,1,,gtbj
1T,HK,1T-R03,Cibubur - Balai Kota,0,,kc0p
1T,HK,1T-R04,Balai Kota - Cibubur,1,,1kux
2,SH,2-R03,Pulo Gadung - Monas,0,,f3px
2,SH,2-R04,Monas - Pulo Gadung,1,,7maa
2A,SH,2A-R03,Pulo Gadung - Rawa Buaya,0,,2A-R03_shp
2A,SH,2A-R04,Rawa Buaya - Pulo Gadung,1,,2A-R04_shp
2B,SH,2B-R03,Transera Harapan Indah - ASMI,0,,xdnl
2B,SH,2B-R04,ASMI - Harapan Indah Transera,1,,y4dm
2E,SH,2E-R03,Rusun Rawa Bebek - Kodamar,0,,2E-R03_shp
2E,SH,2E-R04,Kodamar - Rusun Rawa Bebek,1,,2E-R04_shp
2F,SH,2F-R01,Pulo Gadung - Rusun Cakung Barat Albo,0,,2F-R01_shp
2F,SH,2F-R03,Rusun Cakung Barat Albo - Pulo Gadung,1,,2F-R03_shp
2H,SH,2H-R03,Rusun Jati Rawasari - Senen,0,,2H-R03_shp
2H,SH,2H-R04,Senen - Rusun Jati Rawasari,1,,2H-R04_shp
2P,SH,2P-R05,Gondangdia - Senen,0,,2P-R05_shp
2P,SH,2P-R08,Senen - Gondangdia,1,,s55r
2Q,SH,2Q-R01,Gondangdia - Balai Kota,0,,2Q-R01_shp
2Q,SH,2Q-R02,Balai Kota - Gondangdia,1,,2Q-R02_shp
2ST,SH,2ST-L02,Juanda - Bundaran HI - Juanda via Pasar Baru,0,,xwq4
3,HR,3-R05,Kalideres - Monas,0,,z4hg
3,HM,3-R05C,Kalideres - Monas,0,,3-R05C_shp
3,HR,3-R06,Monas - Kalideres,1,,6jrs
3,HM,3-R06C,Monas - Kalideres,1,,3-R06C_shp
3,HM,3-R11,Kalideres - Monas via Hasyim Ashari (CFD Jakpus),0,,wvdh
3,HM,3-R12,Monas - Kalideres via Hasyim Ashari (CFD Jakpus),1,,pix2
3A,SH,3A-R01,Rusun Pesakih - Kalideres,0,,3A-R01_shp
3A,SH,3A-R02,Kalideres - Rusun Pesakih,1,,3A-R02_shp
3B,SH,3B-R03,Rusun Flamboyan - Cengkareng,0,,3B-R03_shp
3B,SH,3B-R04,Cengkareng - Rusun Flamboyan,1,,3B-R04_shp
3C,SH,3C-R01,Rusun Kapuk Muara - Penjaringan,0,,3C-R01_shp
3C,SH,3C-R02,Penjaringan - Rusun Kapuk Muara,1,,3C-R02_shp
3E,SH,3E-R04,Sentraland Cengkareng - Puri Kembangan,0,,3E-R04_shp
3E,SH,3E-R06,Puri Kembangan - Sentraland Cengkareng,1,,hbtb
3F,SH,3F-R01,Kalideres - Gelora Bung Karno,1,,3F-R01_shp
3F,SH,3F-R02,Gelora Bung Karno - Kalideres,0,,3F-R02_shp
3H,SH,3H-R01,Jelambar - Kota,0,,3H-R01_shp
3H,SH,3H-R02,Kota - Jelambar,1,,3H-R02_shp
3ST,SH,3ST-L01,Kwitang - Budi Utomo - Kwitang,0,,3ST-L01_shp
4,HR,4-R10,Pulo Gadung 2 - Dukuh Atas 2,0,,qhy5
4,HM,4-R10C,Pulo Gadung 2 - Dukuh Atas 2,0,,4-R10C_shp
4,HR,4-R11,Dukuh Atas 2 - Pulo Gadung 2,1,,lhf3
4,HM,4-R11C,Dukuh Atas 2 - Pulo Gadung 2,1,,4-R11C_shp
4,HM,4-R12,Pulo Gadung 2 - Dukuh Atas 2 via Bermis (CFD),0,,ekfo
4,HM,4-R13,Dukuh Atas 2 - Pulo Gadung 2 via Bermis (CFD),1,,lqtt
4B,SH,4B-R01,Stasiun Manggarai - Universitas Indonesia,0,,4B-R01_shp
4B,SH,4B-R02,Universitas Indonesia - Stasiun Manggarai,1,,4B-R02_shp
4C,SH,4C-R03,TU Gas - Polda Metro Jaya,0,,evic
4C,SH,4C-R04,Polda Metro Jaya - TU Gas,1,,na3c
4D,HK,4D-R01,Pulo Gadung 2 - Kuningan,0,,4D-R01_shp
4D,HK,4D-R03,Kuningan - Pulo Gadung 2,1,,4D-R03_shp
4E,SH,4E-R01,Rusun Jatinegara Kaum - Pulo Gadung,0,,4E-R01_shp
4E,SH,4E-R03,Pulo Gadung - Rusun Jatinegara Kaum,1,,4E-R03_shp
4F,SH,4F-R03,Pinang Ranti - Pulo Gadung,0,,gywy
4F,SH,4F-R04,Pulo Gadung - Pinang Ranti,1,,4F-R04_shp
5,SH,5-R03,Matraman - Ancol,0,,5-R03_shp
5,SH,5-R04,Ancol - Matraman,1,,5-R04_shp
5B,HK,5B-R03,Stasiun Tebet - BNN,0,,5B-R03_shp
5B,HK,5B-R04,BNN - Stasiun Tebet,1,,5B-R04_shp
5C,SH,5C-R09,PGC - Juanda,0,,nfz8
5C,SH,5C-R10,Juanda - PGC ,1,,8wrf
5D,HK,5D-R01,PGC 1 - Ancol,0,,5D-R01_shp
5D,HK,5D-R02,Ancol - PGC 1,1,,5D-R02_shp
5F,SH,5F-R03,Kampung Melayu - Tanah Abang,0,,mjsb
5F,SH,5F-R04,Tanah Abang - Kampung Melayu,1,,9mxc
