route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
JAK.30,SH,JAK.30-R01,Grogol - Meruya Via Roxy,0,,JAK.30-R01_shp
JAK.30,SH,JAK.30-R02,Meruya - Grogol Via Roxy,1,,JAK.30-R02_shp
JAK.31,SH,JAK.31-R01,Blok M - Andara,0,,JAK.31-R01_shp
JAK.31,SH,JAK.31-R02,Andara - Blok M,1,,JAK.31-R02_shp
JAK.32,SH,JAK.32-R01,Lebak Bulus - Petukangan,0,,JAK.32-R01_shp
JAK.32,SH,JAK.32-R02,Petukangan - Lebak Bulus,1,,JAK.32-R02_shp
JAK.33,SH,JAK.33-R03,Kota - Pulo Gadung,1,,JAK.33-R03_shp
JAK.33,SH,JAK.33-R04,Pulo Gadung - Kota,0,,JAK.33-R04_shp
JAK.34,SH,JAK.34-R01,Klender - Rawamangun,0,,JAK.34-R01_shp
JAK.34,SH,JAK.34-R02,Rawamangun - Klender,1,,JAK.34-R02_shp
JAK.35,SH,JAK.35-R03,Rawamangun - Pangkalan Jati,1,,JAK.35-R03_shp
JAK.35,SH,JAK.35-R05,Pangkalan Jati - Rawamangun,0,,JAK.35-R05_shp
JAK.36,SH,JAK.36-R01,Cilangkap - Cililitan,0,,JAK.36-R01_shp
JAK.36,SH,JAK.36-R02,Cililitan - Cilangkap,1,,JAK.36-R02_shp
JAK.37,SH,JAK.37-R01,Cililitan - Condet Via Kayu Manis,0,,JAK.37-R01_shp
JAK.37,SH,JAK.37-R02,Condet - Cililitan Via Kayu Manis,1,,JAK.37-R02_shp
JAK.38,SH,JAK.38-R01,Bulak Ringin - Kampung Rambutan,0,,JAK.38-R01_shp
JAK.38,SH,JAK.38-R02,Kampung Rambutan - Bulak Ringin,1,,JAK.38-R02_shp
JAK.39,SH,JAK.39-R01,Duren Sawit - Kalimalang,0,,JAK.39-R01_shp
JAK.39,SH,JAK.39-R02,Kalimalang - Duren Sawit,1,,JAK.39-R02_shp
JAK.40,SH,JAK.40-R02,Pulo Gebang - Harapan Baru Via Rawa Kuning,1,,JAK.40-R02_shp
JAK.40,SH,JAK.40-R03,Harapan Baru - Pulo Gebang Via Rawa Kuning,0,,JAK.40-R03_shp
JAK.41,SH,JAK.41-R01,Kampung Melayu - Pulo Gadung,0,,JAK.41-R01_shp
JAK.41,SH,JAK.41-R02,Pulo Gadung - Kampung Melayu,1,,JAK.41-R02_shp
JAK.42,SH,JAK.42-R01,Kampung Melayu - Pondok Kelapa,0,,JAK.42-R01_shp
JAK.42,SH,JAK.42-R02,Pondok Kelapa - Kampung Melayu,1,,JAK.42-R02_shp
JAK.43B,SH,JAK.43B-R01,Tongtek - Tebet Eco Park (TEP) - Cililitan,0,,JAK.43B-R01_shp
JAK.43B,SH,JAK.43B-R02,Cililitan - Tebet Eco Park (TEP) - Tongtek,1,,JAK.43B-R02_shp
JAK.43C,SH,JAK.43C-R01,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,0,,JAK.43C-R01_shp
JAK.43C,SH,JAK.43C-R02,Stasiun Cawang - Tebet Eco Park (TEP) - Sarana Jaya,1,,JAK.43C-R02_shp
JAK.44,SH,JAK.44-R01,Andara - Stasiun Universitas Pancasila,0,,JAK.44-R01_shp
JAK.44,SH,JAK.44-R02,Stasiun Universitas Pancasila - Andara,1,,JAK.44-R02_shp
JAK.45,SH,JAK.45-R01,Lebak Bulus - Ragunan,0,,JAK.45-R01_shp
JAK.45,SH,JAK.45-R02,Ragunan - Lebak Bulus,1,,JAK.45-R02_shp
JAK.46,SH,JAK.46-R01,Jagakarsa - Pasar Minggu,0,,JAK.46-R01_shp
JAK.46,SH,JAK.46-R02,Pasar Minggu - Jagakarsa,1,,JAK.46-R02_shp
JAK.47,SH,JAK.47-R01,Ciganjur - Pasar Minggu Via KB Ragunan,0,,JAK.47-R01_shp
JAK.47,SH,JAK.47-R02,Pasar Minggu - Ciganjur Via KB Ragunan,1,,JAK.47-R02_shp
JAK.48A,SH,JAK.48A-R01,Stasiun Tebet - Rusun Karet Tengsin,0,,8nsx
JAK.48A,SH,JAK.48A-R02,Rusun Karet Tengsin - Stasiun Tebet,1,,i7x0
JAK.49,SH,JAK.49-R06,Lebak Bulus - Cipulir,0,,JAK.49-R06_shp
JAK.49,SH,JAK.49-R07,Cipulir - Lebak Bulus,1,,JAK.49-R07_shp
JAK.50,SH,JAK.50-R01,Kalideres - Puri Kembangan,0,,JAK.50-R01_shp
JAK.50,SH,JAK.50-R03,Puri Kembangan - Kalideres,1,,JAK.50-R03_shp
JAK.51,SH,JAK.51-R01,Budi Luhur - Taman Kota,0,,JAK.51-R01_shp
JAK.51,SH,JAK.51-R02,Taman Kota - Budi Luhur,1,,JAK.51-R02_shp
JAK.52,SH,JAK.52-R04,Term. Kalideres - Term. Muara Angke,0,,JAK.52-R04_shp
JAK.52,SH,JAK.52-R05,Term. Muara Angke - Term. Kalideres,1,,JAK.52-R05_shp
JAK.53,SH,JAK.53-R01,Grogol - Pos Pengumben Via Slipi,0,,JAK.53-R01_shp
JAK.53,SH,JAK.53-R02,Pos Pengumben - Grogol Via Slipi,1,,JAK.53-R02_shp
JAK.54,SH,JAK.54-R01,Benhil - Grogol,0,,JAK.54-R01_shp
JAK.54,SH,JAK.54-R02,Grogol - Benhil,1,,JAK.54-R02_shp
JAK.56,SH,JAK.56-R03,Srengseng - Grogol,1,,JAK.56-R03_shp
JAK.56,SH,JAK.56-R04,Grogol - Srengseng,0,,JAK.56-R04_shp
JAK.58,SH,JAK.58-R03,Cilincing - Rorotan,0,,JAK.58-R03_shp
JAK.58,SH,JAK.58-R04,Rorotan - Cilincing,1,,JAK.58-R04_shp
JAK.59,SH,JAK.59-R05,Rawamangun - Tanah Merah,1,,0n91
JAK.59,SH,JAK.59-R06,Tanah Merah - Rawasengon,0,,wkgs
JAK.60,SH,JAK.60-R03,Kelapa Gading - Rusun Kemayoran,0,,JAK.60-R03_shp
JAK.60,SH,JAK.60-R04,Rusun Kemayoran - Kelapa Gading,1,,JAK.60-R04_shp
JAK.61,SH,JAK.61-R01,Cempaka Putih - Pulo Gadung Via Kelapa Gading,0,,JAK.61-R01_shp
JAK.61,SH,JAK.61-R02,Pulo Gadung - Cempaka Putih Via Kelapa Gading,1,,JAK.61-R02_shp
JAK.64,SH,JAK.64-R01,Aseli - Lenteng Agung,0,,JAK.64-R01_shp
JAK.64,SH,JAK.64-R02,Lenteng Agung - Aseli,1,,JAK.64-R02_shp
JAK.71,SH,JAK.71-R01,Kampung Rambutan - Pinang Ranti,0,,JAK.71-R01_shp
JAK.71,SH,JAK.71-R02,Pinang Ranti - Kampung Rambutan,1,,JAK.71-R02_shp
JAK.72,SH,JAK.72-R01,Kampung Rambutan - Pasar Rebo Via Poncol,0,,JAK.72-R01_shp
JAK.72,SH,JAK.72-R02,Pasar Rebo - Kampung Rambutan Via Poncol,1,,JAK.72-R02_shp
JAK.73,SH,JAK.73-R01,Jambore Cibubur - Pasar Rebo,0,,JAK.73-R01_shp
JAK.73,SH,JAK.73-R02,Pasar Rebo - Jambore Cibubur,1,,JAK.73-R02_shp
JAK.74,SH,JAK.74-R01,Cipinang Muara - Rawamangun,0,,JAK.74-R01_shp
JAK.74,SH,JAK.74-R02,Rawamangun - Cipinang Muara,1,,JAK.74-R02_shp
JAK.75,SH,JAK.75-R01,Cililitan - Kampung Pulo,0,,JAK.75-R01_shp
JAK.75,SH,JAK.75-R02,Kampung Pulo - Cililitan,1,,JAK.75-R02_shp
JAK.77,SH,JAK.77-R01,Jembatan Item - Tanjung Priok,0,,JAK.77-R01_shp
JAK.77,SH,JAK.77-R02,Tanjung Priok - Jembatan Item,1,,JAK.77-R02_shp
JAK.80,SH,JAK.80-R01,Rawa Buaya - Rawa Kompeni,0,,JAK.80-R01_shp
JAK.80,SH,JAK.80-R03,Rawa Kompeni - Rawa Buaya,1,,JAK.80-R03_shp
JAK.84,SH,JAK.84-R03,Kampung Melayu - Pangkalan Jati,0,,JAK.84-R03_shp
JAK.84,SH,JAK.84-R04,Pangkalan Jati - Kampung Melayu,1,,ritj
JAK.85,SH,JAK.85-R01,Bintara - Cipinang Indah,0,,JAK.85-R01_shp
JAK.85,SH,JAK.85-R02,Cipinang Indah - Bintara,1,,JAK.85-R02_shp
JAK.86,SH,JAK.86-R03,Term. Rawamangun - Term. Manggarai,0,,wuw9
JAK.86,SH,JAK.86-R04,Term. Manggarai - Term. Rawamangun,1,,qyqk
JAK.88,SH,JAK.88-R01,Terminal Tanjung Priok - Ancol Barat,0,,JAK.88-R01_shp
JAK.88,SH,JAK.88-R02,Ancol Barat - Terminal Tanjung Priok,1,,JAK.88-R02_shp
JAK.99,SH,JAK.99-R01,Term. Pulo Gadung - Lampiri,0,,JAK.99-R01_shp
JAK.99,SH,JAK.99-R02,Lampiri - Term. Pulo Gadung,1,,JAK.99-R02_shp
JIS3,SH,JIS3-R03,Jakarta International Stadium - Harmoni,0,,JIS3-R03_shp
JIS3,SH,JIS3-R04,Harmoni - Jakarta International Stadium,1,,JIS3-R04_shp
L13E,HK,L13E-R05,Puri Beta - Kuningan Barat,0,,b17u
L13E,HK,L13E-R06,Kuningan Barat - Puri Beta,1,,zlxp
M1,SH,M1-R01,Blok M - Kota,0,,M1-R01_shp
M1,SH,M1-R02,Kota - Blok M,1,,M1-R02_shp
M10,SH,M10-R01,PGC 2 - Tanjung Priok,0,,M10-R01_shp
M10,SH,M10-R02,Tanjung Priok - PGC 2,1,,M10-R02_shp
M11,SH,M11-R01,Pulo Gebang - Pulo Gadung 1,0,,M11-R01_shp
M11,SH,M11-R02,Pulo Gadung 1 - Pulo Gebang,1,,M11-R02_shp
M12,SH,M12-R01,Sunter Boulevard Barat - Penjaringan,0,,M12-R01_shp
M12,SH,M12-R02,Penjaringan - Sunter Boulevard Barat,1,,M12-R02_shp
M13,SH,M13-R01,Puri Beta 2 - Tendean,0,,M13-R01_shp
M13,SH,M13-R02,Tendean - Puri Beta 2,1,,M13-R02_shp
M2,SH,M2-R03,Pulo Gadung - Monas,1,,0nuu
M2,SH,M2-R04,Monas - Pulo Gadung,0,,vcut
M3,SH,M3-R07,Kalideres - Monas,0,,qtlc
M3,SH,M3-R08,Monas - Kalideres,1,,paxl
M4,SH,M4-R05,Pulo Gadung 2 - Dukuh Atas 2,0,,4hpb
M4,SH,M4-R06,Dukuh Atas 2 - Pulo Gadung 2,1,,i3pk
M5,SH,M5-R01,PGC 2 - Ancol,0,,M5-R01_shp
M5,SH,M5-R02,Ancol - PGC 2,1,,M5-R02_shp
M6,SH,M6-R05,Ragunan - Dukuh Atas 2,0,,kesn
M6,SH,M6-R06,Dukuh Atas 2 - Ragunan,1,,kqjq
M7,SH,M7-R03,Kampung Rambutan - Monas,0,,y9w8
M7,SH,M7-R04,Monas - Kampung Rambutan,1,,4sqm
M8,SH,M8-R03,Lebak Bulus - Pasar Baru,0,,f88g
M8,SH,M8-R04,Pasar Baru - Lebak Bulus,1,,zt0f
M9,SH,M9-R01,Pinang Ranti - Pluit,0,,M9-R01_shp
M9,SH,M9-R02,Pluit - Pinang Ranti,1,,M9-R02_shp
R1A,SH,R1A-R01,Pantai Maju - Kota,0,,R1A-R01_shp
R1A,SH,R1A-R02,Kota - Pantai Maju,1,,R1A-R02_shp
S11,SH,S11-R03,BSD - Jelambar,0,,S11-R03_shp
S11,SH,S11-R05,Jelambar - BSD,1,,vzna
S12,HK,S12-R03,BSD - Fatmawati,0,,S12-R03_shp
S12,HK,S12-R04,Fatmawati - BSD,1,,S12-R04_shp
S21,SH,S21-R03,Ciputat - Kejaksaan Agung,0,,S21-R03_shp
S21,SH,S21-R04,Kejaksaan Agung - Ciputat,1,,S21-R04_shp
S22,HK,S22-R01,Ciputat - Kampung Rambutan,0,,S22-R01_shp
S22,HK,S22-R02,Kampung Rambutan - Ciputat,1,,S22-R02_shp
S31,HK,S31-R01,Bintaro - Fatmawati,0,,S31-R01_shp
S31,HK,S31-R02,Fatmawati - Bintaro,1,,S31-R02_shp
T11,HM,T11-R06C,Poris Plawad - Bundaran Senayan,0,,T11-R06C_shp
T11,HM,T11-R07C,Bundaran Senayan - Poris Plawad,1,,T11-R07C_shp
T11,HR,T11-R06,Poris Plawad - Gelora Bung Karno,0,,imkq
T11,HR,T11-R07,Gelora Bung Karno - Poris Plawad,1,,cj6z
T11,HM,T11-R04,Poris Plawad - Senayan City,0,,T11-R04_shp
T11,HM,T11-R05,Senayan City - Poris Plawad,1,,T11-R05_shp
2C,HK,2C-R03,Balai Kota - JIEXPO Kemayoran,0,,wo2x
2C,HK,2C-R04,JIEXPO Kemayoran - Balai Kota,1,,vpwf
2C,HL,2C-R03HL,Balai Kota - JIEXPO Kemayoran,0,,2C-R03HL_shp
2C,HL,2C-R04HL,JIEXPO Kemayoran - Balai Kota,1,,2C-R04HL_shp
PRJ1,HK,PRJ1-R01,PGC 1 - JIEXPO Kemayoran,0,,PRJ1-R01_shp
PRJ1,HK,PRJ1-R02,JIEXPO Kemayoran - PGC 1,1,,PRJ1-R02_shp
PRJ1,HL,PRJ1-R01HL,PGC 1 - JIEXPO Kemayoran,0,,PRJ1-R01HL_shp
PRJ1,HL,PRJ1-R02HL,JIEXPO Kemayoran - PGC 1,1,,PRJ1-R02HL_shp
PRJ2,HK,PRJ2-R03,Matraman Baru - JIEXPO Kemayoran,0,,q9xx
PRJ2,HK,PRJ2-R04,JIEXPO Kemayoran - Matraman Baru,1,,4quc
PRJ2,HL,PRJ2-R03HL,Matraman Baru - JIEXPO Kemayoran,0,,PRJ2-R03HL_shp
PRJ2,HL,PRJ2-R04HL,JIEXPO Kemayoran - Matraman Baru,1,,PRJ2-R04HL_shp
PRJ3,HK,PRJ3-R01,Pulo Gadung 1 - JIEXPO Kemayoran,0,,PRJ3-R01_shp
PRJ3,HK,PRJ3-R02,JIEXPO Kemayoran - Pulo Gadung 1,1,,PRJ3-R02_shp
PRJ3,HL,PRJ3-R01HL,Pulo Gadung 1 - JIEXPO Kemayoran,0,,PRJ3-R01HL_shp
PRJ3,HL,PRJ3-R02HL,JIEXPO Kemayoran - Pulo Gadung 1,1,,PRJ3-R02HL_shp
T12,HK,T12-R03,Poris  Plawad - Juanda,0,,p1qd
T12,HK,T12-R02,Juanda - Poris Plawad,1,,T12-R02_shp
7R,HK,7R-R01,Cibubur - Pluit,0,,g49w
7T,HK,7T-R01,Cibubur - Tanjung Priok,0,,jtn1
